pincode,taluk,districtname,statename
744112,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744102,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744102,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744101,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744103,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744101,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744101,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744104,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744201,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744107,Ferrargunj,South Andaman,ANDAMAN & NICOBAR ISLANDS
744302,Nancowrie,Nicobar,ANDAMAN & NICOBAR ISLANDS
744301,Carnicobar,Nicobar,ANDAMAN & NICOBAR ISLANDS
744202,Diglipur,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744105,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744102,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744211,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744207,Hut Bay,South Andaman,ANDAMAN & NICOBAR ISLANDS
744103,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744209,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744304,Nancowrie,Nicobar,ANDAMAN & NICOBAR ISLANDS
744203,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744204,Mayabander,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744303,Nancowrie,Nicobar,ANDAMAN & NICOBAR ISLANDS
744210,Port Blair,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744205,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744106,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744206,Ferrargunj,South Andaman,ANDAMAN & NICOBAR ISLANDS
518004,Kurnool,Kurnool,ANDHRA PRADESH
518002,Kurnool,Kurnool,ANDHRA PRADESH
518002,Kurnool,Kurnool,ANDHRA PRADESH
518001,Kurnool,Kurnool,ANDHRA PRADESH
